"日期","数量",,957427,1057427,1077427,957427
20190314,1237412,,,,,
20190315,1257507,20095,300080,1.623953865,31.342337327,
20190318,1274551,17044,317124,1.3553801291,33.1225252682,
20190319,1277483,2932,320056,0.2300417951,33.4287627151,
20190320,1267750,-9733,310323,-0.7618888079,32.4121839054,
20190321,1277018,9268,319591,0.7310589627,33.3801950436,
20190322,1275902,-1116,318475,-0.0873910939,33.263632632,
20190325,1263479,-12423,306052,-0.9736641215,31.966092454,
20190326,1237048,-26431,279621,-2.0919223826,29.2054642286,
20190327,1248219,11171,290792,0.9030369072,30.3722372567,
20190328,1239960,-8259,282533,-0.6616627371,29.5096127433,
20190329,1276420,36460,318993,2.9404174328,33.3177359736,
20190401,1319116,42696,361689,3.3449804923,37.7771882347,
20190402,1325097,5981,367670,0.4534097077,38.4018833812,
20190403,1342860,17763,385433,1.3405056385,40.2571684316,
20190404,1344165,1305,386738,0.0971806443,40.3934712516,
20190408,1343137,-1028,385710,-0.0764787061,40.2861001413,
20190409,1343460,323,386033,0.0240481797,40.3198363948,
20190410,1338964,-4496,381537,-0.3346582704,39.8502444573,
20190411,1314639,-24325,357212,-1.816703063,37.3095807827,
20190412,1408096,-6543,350669,-0.4977031717,36.626186644,
20190415,1396374,-11722,338947,-0.8324716497,35.4018635363,
20190416,1430729,34355,373302,2.4603007504,38.9901266624,
20190417,1430199,-530,372772,-0.0370440524,38.9347699616,
20190418,1423295,-6904,365868,-0.4827300257,38.2136705984,
20190419,1439141,15846,381714,1.1133320921,39.8687315064,
20190422,1418814,-20327,361387,-1.4124397818,37.7456453599,
20190423,1389091,-29723,331664,-2.0949187138,34.6411789097,
20190424,1404707,15616,347280,1.1241884081,36.2722170985,
20190425,1354091,-50616,296664,-3.603313716,30.9855477232,
20190426,1341268,-12823,283841,-0.9469821452,29.6462289031,
20190429,1301898,-39370,244471,-2.935282136,25.5341660513,
20190430,1302446,548,245019,0.0420923913,25.591402791,
20190506,1229002,-73444,171575,-5.6389286005,17.9204263093,
20190507,1238076,9074,180649,0.738322639,18.868174806,
20190508,1233938,-4138,176511,-0.3342282703,18.4359747532,
20190509,1231066,-2872,173639,-0.2327507541,18.1360041027,
20190510,1263486,32420,206059,2.6334899997,21.5221630474,
20190513,1251750,-11736,194323,-0.9288587289,20.2963776873,
20190514,1248719,-3031,191292,-0.2421410026,19.9798000265,
20190515,1273107,24388,215680,1.9530414769,22.5270438373,
20190516,1268354,-4753,210927,-0.3733386118,22.0306091222,
20190517,1229386,-38968,171959,-3.0723283878,17.9605338057,
